review_id,review,rating,date,time,source,photos,processed
r001,Worst experience. Coffee was cold and foodpanda rider took 50 minutes to deliver. Not worth the money at all.,1,2026-06-15,20:10,foodpanda,0,True
r002,Sat there with my laptop for almost three hours. Staff didn't mind at all and the WiFi stayed solid. Best spanish latte in town.,5,2026-06-16,10:15,google,0,True
r003,The pour-over coffee tasted fine but Rs. 1200 for a single cup is getting ridiculous. Cashier had a bad attitude too.,3,2026-06-16,13:45,google,0,True
r004,Found a hair in my butter croissant... gross. Appetite was completely gone. Manager did remove it from the bill but still bad experience.,1,2026-06-17,21:30,tripadvisor,1,True
r005,Hands down the best espresso and almond croissant in Lahore. The pastry was so flaky and crispy. Coming back every weekend for sure.,5,2026-06-18,09:15,google,1,True
r006,The iced matcha was literally 90% ice and tasted like straight grass water. Total rip off for Rs. 850.,2,2026-06-18,15:30,google,1,True
r007,Service was slow despite the place not being busy. Waited 45 mins for a single cold brew coffee and it was completely watered down.,2,2026-06-19,19:45,other,0,True
r008,Incredible service by Sarah tonight! Recommended the specialty cold brew flights and they were amazing. Very cozy lighting.,5,2026-06-19,20:30,google,0,True
r009,Really appreciated that they have a clean and proper prayer room inside. Very peaceful ambience for a family coffee evening.,5,2026-06-20,21:15,google,0,True
r010,Great coffee but finding parking here is an absolute nightmare. Spent 20 minutes circling the street just to get an americano.,3,2026-06-20,11:00,google,0,True
r011,Amazing live acoustic music on Friday night! The pour-over was perfectly brewed. The iced tea was amazing.,5,2026-06-21,21:15,google,1,True
r012,The outdoor seating area is beautiful but valet parking took 25 minutes just to bring my car back. Total mood killer.,3,2026-06-22,18:30,google,0,True
r013,Foodpanda packaging was totally mangled. Iced matcha spilled everywhere inside the paper bag and made the croissant soggy.,2,2026-06-23,13:00,foodpanda,1,True
r014,Light went out twice during our meeting but their generator backup kicked in within 5 seconds. AC stayed cold. Bohat zabardast service.,5,2026-06-24,15:45,google,0,True
r015,Came for the Sip and Paint event. The workshop itself was very fun but the café got so insanely crowded you couldn't even move your elbows.,3,2026-06-24,20:45,tripadvisor,1,True
r016,Super pet friendly place! Brought my cat and staff immediately got a bowl of water. Very accommodating.,5,2026-06-25,14:10,google,1,True
r017,The crust of the lotus pastry was completely burnt to a crisp on the bottom. Tasted like charcoal. Disappointed.,2,2026-06-26,19:15,google,1,True
r018,Excellent specialty coffee selection. The pour-over has great fruity notes. Baristas really know their stuff.,5,2026-06-27,08:45,google,0,True
r019,They had a football screening indoors and it was blasting so loud we couldn't even talk. Left with a headache. Coffee was just okay.,3,2026-06-27,20:00,google,0,True
r020,Unbelievable value for the high-tea combo. So many items and everything tasted fresh. Highly recommended.,5,2026-06-28,12:45,google,0,True
r021,Even during the massive weekend rush their valet team managed the parking so smoothly. No long queues on the main road.,4,2026-06-28,21:00,google,0,True
r022,The gluten free oat milk option costs an extra Rs. 500 and the portion size was tiny. Tasted rubbery.,2,2026-06-30,19:30,tripadvisor,0,True
r023,Clean modern interior and super fast wifi. Finished my office work from there peacefully. Lotus croissant was 10/10.,5,2026-07-01,10:00,google,1,True
r024,No space to park anywhere near the café and the guards were entirely unhelpful. Had to leave without getting my order.,1,2026-07-02,18:15,google,0,True
r025,Hosted a small family gathering here. Staff handled 10 of us flawlessly. Specialty coffee recommendations were great.,5,2026-07-03,21:00,google,1,True
r026,Attended their ceramic pottery workshop today. It was organized beautifully and they served great complementary iced lattes.,5,2026-07-04,13:30,google,1,True
r027,Best iced latte in town. They use high quality oat milk. Clean space and friendly faces.,5,2026-07-05,09:30,google,0,True
r028,Lahore heat was unbearable today and their generator was making huge noise. AC wasn't cooling properly at all.,1,2026-07-06,14:00,google,0,True
r029,The specialty single-origin espresso shot was completely burnt and sour. For Rs. 950 this is completely unacceptable.,1,2026-07-07,20:45,tripadvisor,1,True
r030,Always a solid experience. The classic hot chocolate is consistent and the whipped cream is perfectly sweet.,4,2026-07-08,18:50,google,0,True
